tipe,pertanyaan
truth,"Menurutmu, di mana tempat liburan impian kita berdua?"
truth,"Apa hal tergila yang pernah ingin kamu lakukan bersamaku?"
truth,"Apa satu hal yang kamu harapkan aku lakukan untukmu yang belum pernah aku lakukan?"
truth,"Apa satu hal yang paling sering kamu khawatirkan tentang aku?"
truth,"Bagaimana cara terbaik untuk menghiburmu saat kamu sedang sedih?"
truth,"Sebutkan satu keahlianku yang menurutmu paling hebat."
truth,"Apa kenangan masa kecilmu yang paling lucu?"
truth,"Jika kita bisa memiliki hewan peliharaan apa saja, kamu ingin kita memelihara apa?"
truth,"Apa satu hal yang ingin kamu ubah dari dirimu sendiri?"
truth,"Apa satu hal yang kamu harapkan aku ketahui tentangmu tapi belum pernah kamu katakan?"
truth,"Apa satu hal yang aku lebih baik darimu dalam melakukannya?"
truth,"Kapan momen kamu merasa paling bangga padaku?"
truth,"Apa satu saran terbaik yang pernah aku berikan padamu?"
truth,"Jika kamu bisa memberiku nama panggilan baru, apa itu?"
truth,"Apa satu hal yang selalu ingin kamu tanyakan padaku tapi ragu?"
truth,"Bagaimana perasaanmu saat aku menatap matamu dalam waktu lama?"
truth,"Sebutkan satu hal yang membuat kita berbeda tapi justru melengkapi."
truth,"Apa satu hal yang kamu harapkan aku lakukan lebih sering di depan umum?"
truth,"Jika kamu harus memasak satu hidangan untukku selamanya, apa itu?"
truth,"Apa satu hal yang kamu harapkan tidak akan pernah berubah dari hubungan kita?"
truth,"Kapan momen kamu merasa paling didukung olehku?"
truth,"Apa satu hal yang kamu lakukan untuk membuatku tersenyum?"
truth,"Apa satu hal yang kamu harapkan aku lakukan untukmu di hari istimewa kita
truth,"Apa satu hal yang kamu pelajari dari hubungan-hubunganmu sebelumnya?"
truth,"Bagaimana kamu tahu kalau aku sedang berbohong?"
truth,"Apa arti 'rumah' bagimu, dan apakah aku termasuk di dalamnya?"
truth,"Pernah kepergok pas lagi ...? (isi sendiri)"
dare,"Nyanyikan singkat lagu favoritmu."
dare,"Upload foto pertama kita berdua sekarang."
dare,"Kirim pesan teks ke aku berisi 3 emoji yang menggambarkan diriku."
dare,"Buat story dengan text 'Aku cinta (nama)."
dare,"PAP foto sekarang juga dan kirim ke aku."
dare,"Buat wajah paling jelek yang kamu bisa selama 10 detik."
dare,"Posting foto kita berdua di status WhatsApp dengan caption 'My Everything'."
dare,"Posting foto kita berdua di story Instagram."
dare,"Bisikkan tiga hal yang kamu sukai dari penampilanku hari ini."
dare,"Ganti nama kontakku di HP-mu menjadi 'Sayangku Cintaku Muah-muah' selama 24 jam.
dare,"Kirim pesan suara (voice note) dan bilang i love you."
dare,"Kirim pesan suara (voice note) dan bilang i miss you."
dare,"Tunjukkan riwayat search Instagram kamu sekarang."
dare,"Tunjukin chat WhatsApp teratas kamu."
dare,"Telepon 1 orang temanmu sekarang juga."
dare,"Berikan ekspresi ketika kamu marah dan ga mood."
dare,"Selfie dengan ekspresi lucu atau menggemaskan."
dare,"Nyanyikan lagu buat aku."
dare,"Ceritain kisah cinta pertamamu!."
dare,"Chat Ibu dan bilang i love you."
dare,"Update story Galau di WhatsApp atau Instagram ."
dare,"Kirim stiker WhatsApp paling random yang kamu punya ke aku."
dare,"Sebutkan semua nama mantanmu."
dare,"Ganti wallpaper ponselmu menjadi foto kita berdua."
dare,"Tunjukkan histori pencarian YouTube-mu."
dare,"Katakan padaku sebuah rahasia, lalu katakan 'tapi bohong!'."
dare,"Bisikkan tiga hal yang kamu sukai tentangku secara langsung."
dare,"Ganti nama kontakku di HP-mu menjadi 'My Favorite Person ❤️' selama 24 jam."
dare,"Kirim pesan suara (voice note) dengan isi: 'Aku kangen kamu'."
dare,"Tunjukkan foto di galeri HP-mu."
dare,"Kirim pesan teks ke aku seolah-olah kita baru pertama kali kenalan."
dare,"Pilih satu foto di galeri dan ceritakan kenangan di baliknya."
dare,"Lihat like instagram kamu sekarang juga."
dare,"Sebutkan 5 tempat yang ingin kamu kunjungi bersamaku suatu saat nanti."
dare,"Lihat mataku dan katakan hal termanis yang bisa kamu pikirkan saat ini."
dare,"Katakan ya untuk segalanya selama 1 menit ke depan."
dare,"Sebutkan lima hal terakhir pada riwayat pencarian Google Anda."
dare,"Capture dan kirim baris chat direct message Instagram teratas kamu."
dare,"Posting foto aku di media sosial."
dare,"Posting di media sosial dan bilang bahwa kamu sudah putus denganku."
dare,"Ucapkan sayang kepadaku dengan suara yang keras."
dare,"Minta temanmu untuk menilai cantik/ganteng kamu dari skala 1–10.."
dare,"Tunjukkan semua isi dompet atau tas kamu."
dare,"Ceritakan rahasia seseorang tanpa menyebutkan namanya."
dare,"Bicara I Love You dan I Miss You tanpa menutup mulut."
dare,"Tiru foto dari story Instagram Teman kamu secara random."
dare,"Perankan ulang adegan dari film yang pernah kamu tonton."
dare,"Perlihatkan pesan favorit yang pernah kamu terima dari orang yang kamu suka."
